id_setor_censitario,pessoas_5anos_mais_alfab
355030812000047,506
355030812000048,397
355030812000049,345
355030812000050,224
355030812000051,284
355030812000052,362
355030812000053,323
355030812000054,295
355030812000055,262
355030812000056,265
355030812000057,256
355030812000058,520
355030812000059,352
355030812000060,254
355030812000061,522
355030812000062,268
355030812000063,621
355030812000064,666
355030812000065,837
355030812000066,710
355030812000067,612
355030812000068,653
355030812000069,491
355030812000070,39
355030812000071,432
355030812000072,332
355030812000073,293
355030812000074,227
355030812000075,163
355030812000076,190
355030812000077,264
355030812000078,240
355030812000079,303
355030812000080,346
355030812000081,633
355030812000082,249
355030812000083,262
355030812000084,291
355030812000085,422
355030812000086,517
355030812000087,376
355030812000088,434
355030812000089,440
355030812000090,420
355030812000091,208
355030812000092,189
355030812000093,437
355030812000094,219
355030812000095,309
355030812000096,185
355030812000097,225
355030812000098,393
355030812000099,234
355030812000100,276
355030812000101,268
355030812000102,439
355030812000103,312
355030812000104,439
355030812000105,259
355030812000106,304
355030812000107,376
355030812000108,348
355030812000109,156
355030812000110,232
355030812000111,287
355030812000112,222
355030812000113,306
355030812000114,326
355030812000115,360
355030812000116,232
355030812000117,404
355030812000118,616
355030812000119,195
355030812000120,221
355030812000121,174
355030812000122,424
355030812000123,453
355030812000124,509
355030812000125,576
355030812000126,322
355030812000127,341
355030812000128,345
355030812000129,295
355030812000130,367
355030812000131,257
355030812000132,326
355030812000133,292
355030812000134,164
355030812000135,195
355030812000136,497
355030812000137,422
355030812000138,325
355030812000139,124
355030812000140,128
355030812000141,154
355030812000142,131
355030812000143,808
355030812000144,380
355030812000145,182
355030812000146,132
355030813000001,525
355030813000002,595
355030813000003,869
355030813000004,819
355030813000005,900
355030813000006,829
355030813000007,1262
355030813000008,821
355030813000009,897
355030813000010,911
355030813000011,674
355030813000012,391
355030813000013,664
355030813000014,793
355030813000015,876
355030813000016,556
355030813000017,946
355030813000018,453
355030813000020,429
355030813000021,402
355030813000022,388
355030813000023,571
355030813000024,608
355030813000025,638
355030813000026,777
355030813000027,662
355030813000028,675
355030813000029,735
355030813000030,734
355030813000031,696
355030813000032,492
355030813000033,594
355030813000034,348
355030813000035,696
355030813000036,722
355030813000037,457
355030813000038,651
355030813000039,1436
355030813000040,906
355030813000042,918
355030813000043,699
355030813000044,543
355030813000045,711
355030813000046,670
355030813000047,574
355030813000048,1008
355030813000049,878
355030813000050,707
355030813000051,705
355030813000052,357
355030813000053,340
355030813000054,720
355030813000055,505
355030813000056,766
355030813000057,333
355030813000058,514
